cell,issues,suggested_fixes
3,,
5,Undefined names used: df,
6,,
7,Undefined names used: df1,
8,,
9,,
10,,
11,,
12,"Undefined names used: First_Year, Last_Year, column, fill_missing_values, missing_years, trend",
13,,
14,,
16,,
17,,
18,Undefined names used: df2,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
27,,
28,,
29,Undefined names used: df3,
30,,
31,,
32,,
33,,
34,,
35,,
37,,
38,Undefined names used: df4,
39,,
40,Undefined names used: column,
41,,
42,,
44,,
45,Undefined names used: df5,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
56,,
57,Undefined names used: df6,
58,,
59,,
60,,
61,,
62,,
63,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,Undefined names used: column,
83,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,Undefined names used: missing_data,
101,,
102,,
103,,
104,,
105,,
106,,
107,Undefined names used: column,
108,,
109,,
110,,
111,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,Undefined names used: column,
146,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,Undefined names used: column,
180,,
181,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,Undefined names used: column,
202,,
203,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,Undefined names used: column,
224,,
225,,
226,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,Undefined names used: column,
236,,
237,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,Undefined names used: column,
251,,
252,,
253,,
254,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,Undefined names used: column,
274,,
275,,
276,,
277,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
316,Undefined names used: sns,
317,,
318,,
319,,
320,,
322,Undefined names used: column,
323,,
324,,
325,,
326,,
327,"Undefined names used: dataframes, i",
328,,
329,,
330,,
331,,
332,,
333,,
334,Undefined names used: gdp_column,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
343,"Undefined names used: ARIMA, X, accuracy, actual_gdp_value, actual_gdp_values, e, forecast, forecast_diff, forecast_values, mean_squared_error, model, model_fit, rmse, test_year, train_end, train_start, window_size, y, y_diff, y_train_diff, year",
345,"Undefined names used: Dense, LSTM, MinMaxScaler, Sequential, X_scaled, forecast_scaled, scaler, y_scaled, y_train, years",
346,,
347,,
348,,
350,Undefined names used: e,
352,,
353,,
354,,
355,,
357,Undefined names used: e,
359,,
360,,
361,,
363,Undefined names used: e,
365,,
366,SyntaxError: invalid syntax at line 1 col 5,
368,"Undefined names used: RandomForestRegressor, bar, bars, feature_importance_permutation, idx, imp_vals, most_important_index, rf_regressor, train_test_split, y_test",
369,,
370,,
371,,
372,,
373,,
375,"Undefined names used: PermFeatureFreqRespoAnalysis, XGBRegressor, X_interested_feature, X_other_feature, X_selected, ax1, ax2, fig, frq_range, nyquist_frequency, pffra, pred_all_feature, pred_interested_feature, pred_other_feature, sampling_frequency, selected_features, spectrum_all, spectrum_interested_i, spectrum_true, spectrums",
376,,
377,,
378,,
379,,
380,,
382,"Undefined names used: bar_width, countries, lstm_accuracies, r, r1, r2, ts_accuracies, x",
383,"Undefined names used: color, colors, country",
384,Undefined names used: data,
